date,county,state,fips,cases,deaths,case
2020-03-18,Cobb,Georgia,13067,29,1,4
2020-03-18,DeKalb,Georgia,13089,18,0,3
2020-03-18,Fulton,Georgia,13121,49,0,16
2020-03-18,Gwinnett,Georgia,13135,7,0,0
2020-03-18,Hall,Georgia,13139,3,0,2
2020-03-19,Cobb,Georgia,13067,38,1,9
2020-03-19,DeKalb,Georgia,13089,22,0,4
2020-03-19,Fulton,Georgia,13121,68,2,19
2020-03-19,Gwinnett,Georgia,13135,12,0,5
2020-03-19,Hall,Georgia,13139,5,0,2
2020-03-20,Cobb,Georgia,13067,51,2,13
2020-03-20,DeKalb,Georgia,13089,40,0,18
2020-03-20,Fulton,Georgia,13121,95,2,27
2020-03-20,Gwinnett,Georgia,13135,23,1,11
2020-03-20,Hall,Georgia,13139,6,0,1
2020-03-21,Cobb,Georgia,13067,56,5,5
2020-03-21,DeKalb,Georgia,13089,42,0,2
2020-03-21,Fulton,Georgia,13121,100,3,5
2020-03-21,Gwinnett,Georgia,13135,23,1,0
2020-03-21,Hall,Georgia,13139,9,0,3
2020-03-22,Cobb,Georgia,13067,67,5,11
2020-03-22,DeKalb,Georgia,13089,53,0,11
2020-03-22,Fulton,Georgia,13121,111,3,11
2020-03-22,Gwinnett,Georgia,13135,27,1,4
2020-03-22,Hall,Georgia,13139,9,0,0
2020-03-23,Cobb,Georgia,13067,79,5,12
2020-03-23,DeKalb,Georgia,13089,74,0,21
2020-03-23,Fulton,Georgia,13121,152,3,41
2020-03-23,Gwinnett,Georgia,13135,35,1,8
2020-03-23,Hall,Georgia,13139,10,0,1
2020-03-24,Cobb,Georgia,13067,90,5,11
2020-03-24,DeKalb,Georgia,13089,107,0,33
2020-03-24,Fulton,Georgia,13121,191,4,39
2020-03-24,Gwinnett,Georgia,13135,46,1,11
2020-03-24,Hall,Georgia,13139,16,0,6
2020-03-25,Cobb,Georgia,13067,109,5,19
2020-03-25,DeKalb,Georgia,13089,125,0,18
2020-03-25,Fulton,Georgia,13121,204,4,13
2020-03-25,Gwinnett,Georgia,13135,69,1,23
2020-03-25,Hall,Georgia,13139,19,0,3
2020-03-26,Cobb,Georgia,13067,119,5,10
2020-03-26,DeKalb,Georgia,13089,137,0,12
2020-03-26,Fulton,Georgia,13121,231,4,27
2020-03-26,Gwinnett,Georgia,13135,79,1,10
2020-03-26,Hall,Georgia,13139,22,0,3
2020-03-27,Cobb,Georgia,13067,163,5,44
2020-03-27,DeKalb,Georgia,13089,219,2,82
2020-03-27,Fulton,Georgia,13121,347,12,116
2020-03-27,Gwinnett,Georgia,13135,121,1,42
2020-03-27,Hall,Georgia,13139,30,0,8
2020-03-28,Cobb,Georgia,13067,185,9,22
2020-03-28,DeKalb,Georgia,13089,246,3,27
2020-03-28,Fulton,Georgia,13121,378,13,31
2020-03-28,Gwinnett,Georgia,13135,131,1,10
2020-03-28,Hall,Georgia,13139,31,0,1
2020-03-29,Cobb,Georgia,13067,228,9,43
2020-03-29,DeKalb,Georgia,13089,273,3,27
2020-03-29,Fulton,Georgia,13121,425,12,47
2020-03-29,Gwinnett,Georgia,13135,145,1,14
2020-03-29,Hall,Georgia,13139,33,0,2
2020-03-30,Cobb,Georgia,13067,250,11,22
2020-03-30,DeKalb,Georgia,13089,294,3,21
2020-03-30,Fulton,Georgia,13121,503,16,78
2020-03-30,Gwinnett,Georgia,13135,178,2,33
2020-03-30,Hall,Georgia,13139,34,0,1
2020-03-31,Cobb,Georgia,13067,287,13,37
2020-03-31,DeKalb,Georgia,13089,360,4,66
2020-03-31,Fulton,Georgia,13121,599,18,96
2020-03-31,Gwinnett,Georgia,13135,242,2,64
2020-03-31,Hall,Georgia,13139,67,0,33
2020-04-01,Cobb,Georgia,13067,304,15,17
2020-04-01,DeKalb,Georgia,13089,360,4,0
2020-04-01,Fulton,Georgia,13121,638,20,39
2020-04-01,Gwinnett,Georgia,13135,257,6,15
2020-04-01,Hall,Georgia,13139,71,0,4
2020-04-02,Cobb,Georgia,13067,341,17,37
2020-04-02,DeKalb,Georgia,13089,409,8,49
2020-04-02,Fulton,Georgia,13121,747,23,109
2020-04-02,Gwinnett,Georgia,13135,303,8,46
2020-04-02,Hall,Georgia,13139,72,0,1
2020-04-03,Cobb,Georgia,13067,422,20,81
2020-04-03,DeKalb,Georgia,13089,483,8,74
2020-04-03,Fulton,Georgia,13121,910,26,163
2020-04-03,Gwinnett,Georgia,13135,353,8,50
2020-04-03,Hall,Georgia,13139,81,0,9
2020-04-04,Cobb,Georgia,13067,453,23,31
2020-04-04,DeKalb,Georgia,13089,539,9,56
2020-04-04,Fulton,Georgia,13121,959,26,49
2020-04-04,Gwinnett,Georgia,13135,400,8,47
2020-04-04,Hall,Georgia,13139,117,0,36
2020-04-05,Cobb,Georgia,13067,474,24,21
2020-04-05,DeKalb,Georgia,13089,549,9,10
2020-04-05,Fulton,Georgia,13121,970,28,11
2020-04-05,Gwinnett,Georgia,13135,410,7,10
2020-04-05,Hall,Georgia,13139,117,0,0
2020-04-06,Cobb,Georgia,13067,517,26,43
2020-04-06,DeKalb,Georgia,13089,600,11,51
2020-04-06,Fulton,Georgia,13121,1053,32,83
2020-04-06,Gwinnett,Georgia,13135,455,10,45
2020-04-06,Hall,Georgia,13139,138,0,21
2020-04-07,Cobb,Georgia,13067,566,29,49
2020-04-07,DeKalb,Georgia,13089,673,11,73
2020-04-07,Fulton,Georgia,13121,1185,39,132
2020-04-07,Gwinnett,Georgia,13135,540,13,85
2020-04-07,Hall,Georgia,13139,215,0,77
2020-04-08,Cobb,Georgia,13067,608,29,42
2020-04-08,DeKalb,Georgia,13089,732,12,59
2020-04-08,Fulton,Georgia,13121,1261,42,76
2020-04-08,Gwinnett,Georgia,13135,586,17,46
2020-04-08,Hall,Georgia,13139,233,0,18
2020-04-09,Cobb,Georgia,13067,653,32,45
2020-04-09,DeKalb,Georgia,13089,766,13,34
2020-04-09,Fulton,Georgia,13121,1336,48,75
2020-04-09,Gwinnett,Georgia,13135,618,17,32
2020-04-09,Hall,Georgia,13139,247,0,14
2020-04-10,Cobb,Georgia,13067,681,33,28
2020-04-10,DeKalb,Georgia,13089,826,13,60
2020-04-10,Fulton,Georgia,13121,1417,50,81
2020-04-10,Gwinnett,Georgia,13135,669,17,51
2020-04-10,Hall,Georgia,13139,273,0,26
2020-04-11,Cobb,Georgia,13067,705,32,24
2020-04-11,DeKalb,Georgia,13089,848,14,22
2020-04-11,Fulton,Georgia,13121,1446,50,29
2020-04-11,Gwinnett,Georgia,13135,681,18,12
2020-04-11,Hall,Georgia,13139,276,0,3
2020-04-12,Cobb,Georgia,13067,728,35,23
2020-04-12,DeKalb,Georgia,13089,893,14,45
2020-04-12,Fulton,Georgia,13121,1495,50,49
2020-04-12,Gwinnett,Georgia,13135,701,19,20
2020-04-12,Hall,Georgia,13139,282,0,6
2020-04-13,Cobb,Georgia,13067,816,36,88
2020-04-13,DeKalb,Georgia,13089,1006,15,113
2020-04-13,Fulton,Georgia,13121,1635,52,140
2020-04-13,Gwinnett,Georgia,13135,766,24,65
2020-04-13,Hall,Georgia,13139,319,0,37
2020-04-14,Cobb,Georgia,13067,895,41,79
2020-04-14,DeKalb,Georgia,13089,1144,15,138
2020-04-14,Fulton,Georgia,13121,1812,60,177
2020-04-14,Gwinnett,Georgia,13135,815,29,49
2020-04-14,Hall,Georgia,13139,363,0,44
2020-04-15,Cobb,Georgia,13067,950,44,55
2020-04-15,DeKalb,Georgia,13089,1225,16,81
2020-04-15,Fulton,Georgia,13121,1902,63,90
2020-04-15,Gwinnett,Georgia,13135,885,32,70
2020-04-15,Hall,Georgia,13139,402,5,39
2020-04-16,Cobb,Georgia,13067,1014,49,64
2020-04-16,DeKalb,Georgia,13089,1260,21,35
2020-04-16,Fulton,Georgia,13121,1945,66,43
2020-04-16,Gwinnett,Georgia,13135,917,32,32
2020-04-16,Hall,Georgia,13139,526,5,124
2020-04-17,Cobb,Georgia,13067,1085,51,71
2020-04-17,DeKalb,Georgia,13089,1366,23,106
2020-04-17,Fulton,Georgia,13121,2037,74,92
2020-04-17,Gwinnett,Georgia,13135,1037,36,120
2020-04-17,Hall,Georgia,13139,605,6,79
2020-04-18,Cobb,Georgia,13067,1104,51,19
2020-04-18,DeKalb,Georgia,13089,1408,24,42
2020-04-18,Fulton,Georgia,13121,2065,74,28
2020-04-18,Gwinnett,Georgia,13135,1059,36,22
2020-04-18,Hall,Georgia,13139,607,6,2
2020-04-19,Cobb,Georgia,13067,1148,54,44
2020-04-19,DeKalb,Georgia,13089,1473,24,65
2020-04-19,Fulton,Georgia,13121,2131,75,66
2020-04-19,Gwinnett,Georgia,13135,1124,38,65
2020-04-19,Hall,Georgia,13139,625,6,18
2020-04-20,Cobb,Georgia,13067,1196,56,48
2020-04-20,DeKalb,Georgia,13089,1520,26,47
2020-04-20,Fulton,Georgia,13121,2198,80,67
2020-04-20,Gwinnett,Georgia,13135,1181,42,57
2020-04-20,Hall,Georgia,13139,702,9,77
2020-04-21,Cobb,Georgia,13067,1230,60,34
2020-04-21,DeKalb,Georgia,13089,1563,30,43
2020-04-21,Fulton,Georgia,13121,2206,83,8
2020-04-21,Gwinnett,Georgia,13135,1238,44,57
2020-04-21,Hall,Georgia,13139,756,9,54
2020-04-22,Cobb,Georgia,13067,1272,63,42
2020-04-22,DeKalb,Georgia,13089,1609,31,46
2020-04-22,Fulton,Georgia,13121,2255,85,49
2020-04-22,Gwinnett,Georgia,13135,1273,46,35
2020-04-22,Hall,Georgia,13139,907,9,151
2020-04-23,Cobb,Georgia,13067,1326,66,54
2020-04-23,DeKalb,Georgia,13089,1689,34,80
2020-04-23,Fulton,Georgia,13121,2436,88,181
2020-04-23,Gwinnett,Georgia,13135,1351,46,78
2020-04-23,Hall,Georgia,13139,963,9,56
2020-04-24,Cobb,Georgia,13067,1368,72,42
2020-04-24,DeKalb,Georgia,13089,1721,36,32
2020-04-24,Fulton,Georgia,13121,2500,91,64
2020-04-24,Gwinnett,Georgia,13135,1382,46,31
2020-04-24,Hall,Georgia,13139,1022,9,59
2020-04-25,Cobb,Georgia,13067,1395,74,27
2020-04-25,DeKalb,Georgia,13089,1788,36,67
2020-04-25,Fulton,Georgia,13121,2543,91,43
2020-04-25,Gwinnett,Georgia,13135,1460,46,78
2020-04-25,Hall,Georgia,13139,1032,9,10
2020-04-26,Cobb,Georgia,13067,1428,75,33
2020-04-26,DeKalb,Georgia,13089,1800,36,12
2020-04-26,Fulton,Georgia,13121,2545,94,2
2020-04-26,Gwinnett,Georgia,13135,1504,47,44
2020-04-26,Hall,Georgia,13139,1033,11,1
2020-04-27,Cobb,Georgia,13067,1483,81,55
2020-04-27,DeKalb,Georgia,13089,1855,42,55
2020-04-27,Fulton,Georgia,13121,2680,103,135
2020-04-27,Gwinnett,Georgia,13135,1545,52,41
2020-04-27,Hall,Georgia,13139,1098,12,65
2020-04-28,Cobb,Georgia,13067,1539,81,56
2020-04-28,DeKalb,Georgia,13089,1907,44,52
2020-04-28,Fulton,Georgia,13121,2753,108,73
2020-04-28,Gwinnett,Georgia,13135,1620,54,75
2020-04-28,Hall,Georgia,13139,1185,16,87
2020-04-29,Cobb,Georgia,13067,1581,88,42
2020-04-29,DeKalb,Georgia,13089,1980,46,73
2020-04-29,Fulton,Georgia,13121,2785,116,32
2020-04-29,Gwinnett,Georgia,13135,1744,55,124
2020-04-29,Hall,Georgia,13139,1261,20,76
2020-04-30,Cobb,Georgia,13067,1621,94,40
2020-04-30,DeKalb,Georgia,13089,2027,47,47
2020-04-30,Fulton,Georgia,13121,2821,118,36
2020-04-30,Gwinnett,Georgia,13135,1793,57,49
2020-04-30,Hall,Georgia,13139,1346,21,85
2020-05-01,Cobb,Georgia,13067,1679,96,58
2020-05-01,DeKalb,Georgia,13089,2073,49,46
2020-05-01,Fulton,Georgia,13121,2880,122,59
2020-05-01,Gwinnett,Georgia,13135,1848,58,55
2020-05-01,Hall,Georgia,13139,1482,22,136
2020-05-02,Cobb,Georgia,13067,1749,96,70
2020-05-02,DeKalb,Georgia,13089,2148,52,75
2020-05-02,Fulton,Georgia,13121,2928,122,48
2020-05-02,Gwinnett,Georgia,13135,1934,58,86
2020-05-02,Hall,Georgia,13139,1694,22,212
2020-05-03,Cobb,Georgia,13067,1768,97,19
2020-05-03,DeKalb,Georgia,13089,2184,53,36
2020-05-03,Fulton,Georgia,13121,2981,124,53
2020-05-03,Gwinnett,Georgia,13135,1980,58,46
2020-05-03,Hall,Georgia,13139,1700,23,6
2020-05-04,Cobb,Georgia,13067,1839,101,71
2020-05-04,DeKalb,Georgia,13089,2255,57,71
2020-05-04,Fulton,Georgia,13121,3057,129,76
2020-05-04,Gwinnett,Georgia,13135,2057,65,77
2020-05-04,Hall,Georgia,13139,1776,23,76
2020-05-05,Cobb,Georgia,13067,1887,102,48
2020-05-05,DeKalb,Georgia,13089,2284,59,29
2020-05-05,Fulton,Georgia,13121,3165,130,108
2020-05-05,Gwinnett,Georgia,13135,2102,77,45
2020-05-05,Hall,Georgia,13139,1846,26,70
2020-05-06,Cobb,Georgia,13067,1998,107,111
2020-05-06,DeKalb,Georgia,13089,2357,61,73
2020-05-06,Fulton,Georgia,13121,3250,135,85
2020-05-06,Gwinnett,Georgia,13135,2222,81,120
2020-05-06,Hall,Georgia,13139,1914,27,68
2020-05-07,Cobb,Georgia,13067,2024,108,26
2020-05-07,DeKalb,Georgia,13089,2396,62,39
2020-05-07,Fulton,Georgia,13121,3260,137,10
2020-05-07,Gwinnett,Georgia,13135,2254,84,32
2020-05-07,Hall,Georgia,13139,1956,27,42
2020-05-08,Cobb,Georgia,13067,2072,114,48
2020-05-08,DeKalb,Georgia,13089,2445,69,49
2020-05-08,Fulton,Georgia,13121,3317,144,57
2020-05-08,Gwinnett,Georgia,13135,2322,87,68
2020-05-08,Hall,Georgia,13139,1997,28,41
2020-05-09,Cobb,Georgia,13067,2128,116,56
2020-05-09,DeKalb,Georgia,13089,2489,69,44
2020-05-09,Fulton,Georgia,13121,3385,144,68
2020-05-09,Gwinnett,Georgia,13135,2403,87,81
2020-05-09,Hall,Georgia,13139,2002,28,5
2020-05-10,Cobb,Georgia,13067,2175,117,47
2020-05-10,DeKalb,Georgia,13089,2536,69,47
2020-05-10,Fulton,Georgia,13121,3509,144,124
2020-05-10,Gwinnett,Georgia,13135,2447,87,44
2020-05-10,Hall,Georgia,13139,2012,28,10
2020-05-11,Cobb,Georgia,13067,2186,118,11
2020-05-11,DeKalb,Georgia,13089,2555,71,19
2020-05-11,Fulton,Georgia,13121,3516,145,7
2020-05-11,Gwinnett,Georgia,13135,2475,92,28
2020-05-11,Hall,Georgia,13139,2039,29,27
2020-05-12,Cobb,Georgia,13067,2253,124,67
2020-05-12,DeKalb,Georgia,13089,2605,72,50
2020-05-12,Fulton,Georgia,13121,3595,149,79
2020-05-12,Gwinnett,Georgia,13135,2495,101,20
2020-05-12,Hall,Georgia,13139,2060,35,21
2020-05-13,Cobb,Georgia,13067,2280,127,27
2020-05-13,DeKalb,Georgia,13089,2632,73,27
2020-05-13,Fulton,Georgia,13121,3614,152,19
2020-05-13,Gwinnett,Georgia,13135,2510,101,15
2020-05-13,Hall,Georgia,13139,2112,37,52
2020-05-14,Cobb,Georgia,13067,2363,129,83
2020-05-14,DeKalb,Georgia,13089,2664,75,32
2020-05-14,Fulton,Georgia,13121,3625,159,11
2020-05-14,Gwinnett,Georgia,13135,2552,101,42
2020-05-14,Hall,Georgia,13139,2125,40,13
2020-05-15,Cobb,Georgia,13067,2395,132,32
2020-05-15,DeKalb,Georgia,13089,2751,80,87
2020-05-15,Fulton,Georgia,13121,3703,164,78
2020-05-15,Gwinnett,Georgia,13135,2597,101,45
2020-05-15,Hall,Georgia,13139,2140,40,15
2020-05-16,Cobb,Georgia,13067,2407,132,12
2020-05-16,DeKalb,Georgia,13089,2800,81,49
2020-05-16,Fulton,Georgia,13121,3749,165,46
2020-05-16,Gwinnett,Georgia,13135,2597,102,0
2020-05-16,Hall,Georgia,13139,2146,40,6
2020-05-17,Cobb,Georgia,13067,2406,132,-1
2020-05-17,DeKalb,Georgia,13089,2802,82,2
2020-05-17,Fulton,Georgia,13121,3759,165,10
2020-05-17,Gwinnett,Georgia,13135,2594,102,-3
2020-05-17,Hall,Georgia,13139,2150,40,4
2020-05-18,Cobb,Georgia,13067,2429,133,23
2020-05-18,DeKalb,Georgia,13089,2856,86,54
2020-05-18,Fulton,Georgia,13121,3751,171,-8
2020-05-18,Gwinnett,Georgia,13135,2680,105,86
2020-05-18,Hall,Georgia,13139,2164,42,14
2020-05-19,Cobb,Georgia,13067,2503,135,74
2020-05-19,DeKalb,Georgia,13089,2918,87,62
2020-05-19,Fulton,Georgia,13121,3795,174,44
2020-05-19,Gwinnett,Georgia,13135,2771,114,91
2020-05-19,Hall,Georgia,13139,2191,40,27
2020-05-20,Cobb,Georgia,13067,2584,135,81
2020-05-20,DeKalb,Georgia,13089,2979,88,61
2020-05-20,Fulton,Georgia,13121,3793,174,-2
2020-05-20,Gwinnett,Georgia,13135,2820,117,49
2020-05-20,Hall,Georgia,13139,2230,40,39
2020-05-21,Cobb,Georgia,13067,2625,138,41
2020-05-21,DeKalb,Georgia,13089,3038,96,59
2020-05-21,Fulton,Georgia,13121,3872,190,79
2020-05-21,Gwinnett,Georgia,13135,2882,121,62
2020-05-21,Hall,Georgia,13139,2248,41,18
2020-05-22,Cobb,Georgia,13067,2655,141,30
2020-05-22,DeKalb,Georgia,13089,3080,100,42
2020-05-22,Fulton,Georgia,13121,3931,196,59
2020-05-22,Gwinnett,Georgia,13135,2961,121,79
2020-05-22,Hall,Georgia,13139,2269,41,21
2020-05-23,Cobb,Georgia,13067,2661,141,6
2020-05-23,DeKalb,Georgia,13089,3146,102,66
2020-05-23,Fulton,Georgia,13121,3977,197,46
2020-05-23,Gwinnett,Georgia,13135,2997,121,36
2020-05-23,Hall,Georgia,13139,2305,41,36
2020-05-24,Cobb,Georgia,13067,2702,142,41
2020-05-24,DeKalb,Georgia,13089,3257,102,111
2020-05-24,Fulton,Georgia,13121,4054,196,77
2020-05-24,Gwinnett,Georgia,13135,3056,122,59
2020-05-24,Hall,Georgia,13139,2322,41,17
2020-05-25,Cobb,Georgia,13067,2795,146,93
2020-05-25,DeKalb,Georgia,13089,3305,104,48
2020-05-25,Fulton,Georgia,13121,4080,199,26
2020-05-25,Gwinnett,Georgia,13135,3198,121,142
2020-05-25,Hall,Georgia,13139,2327,41,5
2020-05-26,Cobb,Georgia,13067,2854,150,59
2020-05-26,DeKalb,Georgia,13089,3421,107,116
2020-05-26,Fulton,Georgia,13121,4230,209,150
2020-05-26,Gwinnett,Georgia,13135,3307,125,109
2020-05-26,Hall,Georgia,13139,2378,41,51
2020-05-27,Cobb,Georgia,13067,2907,157,53
2020-05-27,DeKalb,Georgia,13089,3573,111,152
2020-05-27,Fulton,Georgia,13121,4309,214,79
2020-05-27,Gwinnett,Georgia,13135,3480,126,173
2020-05-27,Hall,Georgia,13139,2422,42,44
2020-05-28,Cobb,Georgia,13067,2948,168,41
2020-05-28,DeKalb,Georgia,13089,3635,112,62
2020-05-28,Fulton,Georgia,13121,4367,224,58
2020-05-28,Gwinnett,Georgia,13135,3619,127,139
2020-05-28,Hall,Georgia,13139,2450,46,28
2020-05-29,Cobb,Georgia,13067,2987,170,39
2020-05-29,DeKalb,Georgia,13089,3718,112,83
2020-05-29,Fulton,Georgia,13121,4490,229,123
2020-05-29,Gwinnett,Georgia,13135,3733,126,114
2020-05-29,Hall,Georgia,13139,2465,47,15
2020-05-30,Cobb,Georgia,13067,3009,171,22
2020-05-30,DeKalb,Georgia,13089,3731,112,13
2020-05-30,Fulton,Georgia,13121,4507,230,17
2020-05-30,Gwinnett,Georgia,13135,3769,127,36
2020-05-30,Hall,Georgia,13139,2467,47,2
2020-05-31,Cobb,Georgia,13067,3027,175,18
2020-05-31,DeKalb,Georgia,13089,3734,120,3
2020-05-31,Fulton,Georgia,13121,4524,235,17
2020-05-31,Gwinnett,Georgia,13135,3780,128,11
2020-05-31,Hall,Georgia,13139,2467,47,0
2020-06-01,Cobb,Georgia,13067,3052,183,25
2020-06-01,DeKalb,Georgia,13089,3795,121,61
2020-06-01,Fulton,Georgia,13121,4621,241,97
2020-06-01,Gwinnett,Georgia,13135,3870,132,90
2020-06-01,Hall,Georgia,13139,2507,49,40
2020-06-02,Cobb,Georgia,13067,3056,183,4
2020-06-02,DeKalb,Georgia,13089,3803,121,8
2020-06-02,Fulton,Georgia,13121,4638,242,17
2020-06-02,Gwinnett,Georgia,13135,3891,133,21
2020-06-02,Hall,Georgia,13139,2508,50,1
2020-06-03,Cobb,Georgia,13067,3097,186,41
2020-06-03,DeKalb,Georgia,13089,3874,122,71
2020-06-03,Fulton,Georgia,13121,4688,244,50
2020-06-03,Gwinnett,Georgia,13135,4063,135,172
2020-06-03,Hall,Georgia,13139,2539,50,31
2020-06-04,Cobb,Georgia,13067,3165,190,68
2020-06-04,DeKalb,Georgia,13089,3939,122,65
2020-06-04,Fulton,Georgia,13121,4724,250,36
2020-06-04,Gwinnett,Georgia,13135,4267,135,204
2020-06-04,Hall,Georgia,13139,2566,50,27
2020-06-05,Cobb,Georgia,13067,3223,194,58
2020-06-05,DeKalb,Georgia,13089,3986,124,47
2020-06-05,Fulton,Georgia,13121,4790,250,66
2020-06-05,Gwinnett,Georgia,13135,4372,136,105
2020-06-05,Hall,Georgia,13139,2596,50,30
2020-06-06,Cobb,Georgia,13067,3242,193,19
2020-06-06,DeKalb,Georgia,13089,4008,125,22
2020-06-06,Fulton,Georgia,13121,4822,252,32
2020-06-06,Gwinnett,Georgia,13135,4433,137,61
2020-06-06,Hall,Georgia,13139,2615,50,19
2020-06-07,Cobb,Georgia,13067,3249,193,7
2020-06-07,DeKalb,Georgia,13089,4012,125,4
2020-06-07,Fulton,Georgia,13121,4823,252,1
2020-06-07,Gwinnett,Georgia,13135,4440,137,7
2020-06-07,Hall,Georgia,13139,2616,50,1
2020-06-08,Cobb,Georgia,13067,3298,196,49
2020-06-08,DeKalb,Georgia,13089,4054,125,42
2020-06-08,Fulton,Georgia,13121,4887,256,64
2020-06-08,Gwinnett,Georgia,13135,4598,139,158
2020-06-08,Hall,Georgia,13139,2642,50,26
2020-06-09,Cobb,Georgia,13067,3337,203,39
2020-06-09,DeKalb,Georgia,13089,4120,135,66
2020-06-09,Fulton,Georgia,13121,4925,272,38
2020-06-09,Gwinnett,Georgia,13135,4692,143,94
2020-06-09,Hall,Georgia,13139,2664,51,22
2020-06-10,Cobb,Georgia,13067,3370,210,33
2020-06-10,DeKalb,Georgia,13089,4186,136,66
2020-06-10,Fulton,Georgia,13121,4989,273,64
2020-06-10,Gwinnett,Georgia,13135,4808,142,116
2020-06-10,Hall,Georgia,13139,2686,52,22
2020-06-11,Cobb,Georgia,13067,3471,214,101
2020-06-11,DeKalb,Georgia,13089,4229,139,43
2020-06-11,Fulton,Georgia,13121,5031,273,42
2020-06-11,Gwinnett,Georgia,13135,4980,150,172
2020-06-11,Hall,Georgia,13139,2699,54,13
2020-06-12,Cobb,Georgia,13067,3522,215,51
2020-06-12,DeKalb,Georgia,13089,4282,142,53
2020-06-12,Fulton,Georgia,13121,5069,280,38
2020-06-12,Gwinnett,Georgia,13135,5089,152,109
2020-06-12,Hall,Georgia,13139,2727,55,28
2020-06-13,Cobb,Georgia,13067,3557,215,35
2020-06-13,DeKalb,Georgia,13089,4303,145,21
2020-06-13,Fulton,Georgia,13121,5100,284,31
2020-06-13,Gwinnett,Georgia,13135,5141,152,52
2020-06-13,Hall,Georgia,13139,2740,55,13
2020-06-14,Cobb,Georgia,13067,3581,216,24
2020-06-14,DeKalb,Georgia,13089,4311,145,8
2020-06-14,Fulton,Georgia,13121,5106,285,6
2020-06-14,Gwinnett,Georgia,13135,5172,152,31
2020-06-14,Hall,Georgia,13139,2747,55,7
2020-06-15,Cobb,Georgia,13067,3618,217,37
2020-06-15,DeKalb,Georgia,13089,4355,148,44
2020-06-15,Fulton,Georgia,13121,5157,290,51
2020-06-15,Gwinnett,Georgia,13135,5308,155,136
2020-06-15,Hall,Georgia,13139,2755,55,8
2020-06-16,Cobb,Georgia,13067,3679,218,61
2020-06-16,DeKalb,Georgia,13089,4411,152,56
2020-06-16,Fulton,Georgia,13121,5148,295,-9
2020-06-16,Gwinnett,Georgia,13135,5451,156,143
2020-06-16,Hall,Georgia,13139,2787,56,32
2020-06-17,Cobb,Georgia,13067,3712,222,33
2020-06-17,DeKalb,Georgia,13089,4489,155,78
2020-06-17,Fulton,Georgia,13121,5292,299,144
2020-06-17,Gwinnett,Georgia,13135,5658,158,207
2020-06-17,Hall,Georgia,13139,2822,58,35
2020-06-18,Cobb,Georgia,13067,3751,224,39
2020-06-18,DeKalb,Georgia,13089,4541,158,52
2020-06-18,Fulton,Georgia,13121,5325,301,33
2020-06-18,Gwinnett,Georgia,13135,5753,159,95
2020-06-18,Hall,Georgia,13139,2874,58,52
2020-06-19,Cobb,Georgia,13067,3807,229,56
2020-06-19,DeKalb,Georgia,13089,4637,164,96
